GEOID,NAME,B01003_001E,B19013_001E,B19113_001E,B17001_001E,B17001_002E,B03002_001E,B03002_003E,B03002_004E,B03002_006E,B03002_012E,state,county,tract
10001042801,Census Tract 428.01; Kent County; Delaware,2028,60898,90833,1977,63,2028,1963,37,0,7,10,001,042801
10001042802,Census Tract 428.02; Kent County; Delaware,5777,83105,104375,5777,614,5777,4427,953,51,213,10,001,042802
10001042900,Census Tract 429; Kent County; Delaware,5359,71146,83235,5350,622,5359,4425,566,0,170,10,001,042900
10001043000,Census Tract 430; Kent County; Delaware,6000,74288,91972,6000,620,6000,4822,537,124,409,10,001,043000
10001043100,Census Tract 431; Kent County; Delaware,2451,103080,112532,2437,192,2451,2149,134,153,15,10,001,043100
10001043202,Census Tract 432.02; Kent County; Delaware,3826,61406,65250,3802,571,3826,3113,364,39,26,10,001,043202
10001043300,Census Tract 433; Kent County; Delaware,6426,51154,55417,3536,892,6426,1411,3695,263,672,10,001,043300
10001043400,Census Tract 434; Kent County; Delaware,5660,78750,105139,5585,348,5660,3813,967,57,420,10,001,043400
10001980000,Census Tract 9800; Kent County; Delaware,53,-666666666,-666666666,0,0,53,34,10,3,4,10,001,980000
10001990000,Census Tract 9900; Kent County; Delaware,0,-666666666,-666666666,0,0,0,0,0,0,0,10,001,990000
10003000200,Census Tract 2; New Castle County; Delaware,4992,48150,100868,4992,438,4992,990,3463,0,380,10,003,000200
10003000300,Census Tract 3; New Castle County; Delaware,3498,57969,68372,3498,1003,3498,466,2484,0,390,10,003,000300
10003000400,Census Tract 4; New Castle County; Delaware,2962,34263,152656,2922,759,2962,1244,1360,0,314,10,003,000400
10003000500,Census Tract 5; New Castle County; Delaware,3150,77054,105434,3150,388,3150,473,2158,64,197,10,003,000500
10003000601,Census Tract 6.01; New Castle County; Delaware,2398,45875,55625,2287,728,2398,102,2233,0,21,10,003,000601
10003000602,Census Tract 6.02; New Castle County; Delaware,2815,43750,110759,2815,341,2815,294,2132,65,136,10,003,000602
10003000900,Census Tract 9; New Castle County; Delaware,2377,41078,62917,2368,585,2377,60,1852,0,339,10,003,000900
10003001100,Census Tract 11; New Castle County; Delaware,3221,65246,226250,3129,599,3221,2519,282,125,161,10,003,001100
10003001200,Census Tract 12; New Castle County; Delaware,1779,87155,167625,1694,26,1779,1491,174,1,33,10,003,001200
10003001300,Census Tract 13; New Castle County; Delaware,3763,153343,247500,3763,122,3763,3261,15,0,130,10,003,001300
10003001400,Census Tract 14; New Castle County; Delaware,2251,61439,62224,2107,721,2251,1031,749,10,328,10,003,001400
10003001500,Census Tract 15; New Castle County; Delaware,2109,58611,78229,2109,639,2109,571,1273,0,151,10,003,001500
10003001600,Census Tract 16; New Castle County; Delaware,2483,38581,54643,2466,768,2483,442,1647,0,170,10,003,001600
10003001902,Census Tract 19.02; New Castle County; Delaware,2187,66451,52298,2179,501,2187,307,1321,250,230,10,003,001902
10003002100,Census Tract 21; New Castle County; Delaware,1237,35074,-666666666,1237,497,1237,173,873,34,83,10,003,002100
10003002200,Census Tract 22; New Castle County; Delaware,3247,46103,41714,3097,1115,3247,39,1152,0,1946,10,003,002200
10003002300,Census Tract 23; New Castle County; Delaware,2421,41351,53496,2415,605,2421,185,1318,97,678,10,003,002300
10003002400,Census Tract 24; New Castle County; Delaware,4512,41438,49025,4367,1104,4512,2308,1548,4,302,10,003,002400
10003002500,Census Tract 25; New Castle County; Delaware,3678,70108,87833,3678,482,3678,1654,1190,20,791,10,003,002500
10003002600,Census Tract 26; New Castle County; Delaware,4310,51181,59938,4195,1176,4310,1288,1922,41,658,10,003,002600
10003002700,Census Tract 27; New Castle County; Delaware,2997,71496,70797,2997,468,2997,698,1464,224,527,10,003,002700
10003002800,Census Tract 28; New Castle County; Delaware,2373,54153,-666666666,2348,679,2373,721,1185,176,188,10,003,002800
10003002900,Census Tract 29; New Castle County; Delaware,3305,26029,-666666666,3305,1371,3305,213,2816,9,99,10,003,002900
10003003002,Census Tract 30.02; New Castle County; Delaware,3059,35662,45800,1815,887,3059,541,2098,0,177,10,003,003002
10003010104,Census Tract 101.04; New Castle County; Delaware,4087,58565,75164,4087,505,4087,2297,1189,0,495,10,003,010104
10003010105,Census Tract 101.05; New Castle County; Delaware,2555,81992,102778,2554,218,2555,1068,575,565,195,10,003,010105
10003010106,Census Tract 101.06; New Castle County; Delaware,1681,48681,86713,1681,189,1681,572,883,151,31,10,003,010106
10003010200,Census Tract 102; New Castle County; Delaware,2149,112847,130179,2129,67,2149,1171,501,95,310,10,003,010200
10003010300,Census Tract 103; New Castle County; Delaware,3585,102598,125887,3585,309,3585,1762,798,541,301,10,003,010300
10003010400,Census Tract 104; New Castle County; Delaware,4902,85391,108690,4880,471,4902,3517,804,266,192,10,003,010400
10003010502,Census Tract 105.02; New Castle County; Delaware,5803,85528,118292,5663,698,5803,4146,896,216,177,10,003,010502
10003010703,Census Tract 107.03; New Castle County; Delaware,1834,86979,88617,1827,543,1834,1054,676,56,15,10,003,010703
10003010704,Census Tract 107.04; New Castle County; Delaware,3962,76976,82673,3962,353,3962,1150,2342,119,346,10,003,010704
10003010800,Census Tract 108; New Castle County; Delaware,4885,103482,123500,4667,225,4885,3636,634,274,161,10,003,010800
10003010900,Census Tract 109; New Castle County; Delaware,2664,94922,126188,2664,169,2664,2356,167,6,85,10,003,010900
10003011000,Census Tract 110; New Castle County; Delaware,3353,132083,161827,3353,43,3353,2634,285,23,229,10,003,011000
10003011100,Census Tract 111; New Castle County; Delaware,2671,104891,127375,2653,107,2671,2265,36,109,148,10,003,011100
10003011201,Census Tract 112.01; New Castle County; Delaware,2684,131169,176250,2410,93,2684,1915,109,431,88,10,003,011201
10003011202,Census Tract 112.02; New Castle County; Delaware,4029,111607,157096,4029,56,4029,3225,263,267,86,10,003,011202
10003011203,Census Tract 112.03; New Castle County; Delaware,4822,75250,90150,4822,494,4822,2197,1505,470,98,10,003,011203
10003011204,Census Tract 112.04; New Castle County; Delaware,3321,104138,104909,3313,183,3321,2591,308,55,157,10,003,011204
10003011205,Census Tract 112.05; New Castle County; Delaware,2127,138542,150286,2127,155,2127,1828,165,44,65,10,003,011205
10003011206,Census Tract 112.06; New Castle County; Delaware,4185,145227,169107,4137,92,4185,3885,30,119,62,10,003,011206
10003011300,Census Tract 113; New Castle County; Delaware,2580,140417,147171,2552,46,2580,2038,269,96,89,10,003,011300
